AAPL,MSFT,Spread_Diff
82.24090576171875,179.5757598876953,-97.33485412597656
83.25799560546875,180.7236328125,-97.46563720703125
85.46453857421875,185.1522521972656,-99.68771362304685
85.34557342529297,185.79312133789065,-100.44754791259768
85.37956237792969,187.78271484375,-102.40315246582031
84.89165496826172,186.66354370117188,-101.77188873291016
87.11275482177734,191.8478851318359,-104.73513031005857
88.97212982177734,193.12960815429688,-104.15747833251953
87.40161895751953,189.23660278320312,-101.8349838256836
88.5618896484375,191.62786865234375,-103.06597900390625
85.84077453613281,187.79220581054688,-101.95143127441406
87.81912231445312,189.81048583984375,-101.99136352539062
88.55219268798828,194.6599884033203,-106.10779571533203
88.38469696044922,195.79823303222656,-107.41353607177734
88.38469696044922,197.29039001464844,-108.90569305419922
90.7490234375,201.5373687744141,-110.78834533691409
